"role"," description","controller","function","table","oacl","uacl","org","facility","hidden","system","protected","uid"
"STAFF","Role for AidIQ staff","project",,,"ALL","ALL","all",,,,,"STAFF"
"STAFF","Role for AidIQ staff","default","project",,"READ|UPDATE","READ|CREATE|UPDATE","all",,,,,"STAFF"
"STAFF","Role for AidIQ staff","project","project",,"READ|UPDATE","READ|CREATE|UPDATE","all",,,,,"STAFF"
"STAFF","Role for AidIQ staff","project","time",,"READ|UPDATE|DELETE","READ|CREATE","all",,,,,"STAFF"
"STAFF","Role for AidIQ staff",,,"project_project","READ","READ","all",,,,,"STAFF"
"STAFF","Role for AidIQ staff",,,"project_activity","READ","READ","all",,,,,"STAFF"
"STAFF","Role for AidIQ staff",,,"project_milestone","READ","READ","all",,,,,"STAFF"
